coef,label
-0.03451213292841246,IIXXYYII
-0.027435196828360688,XXIIYYII
0.023650391290113183,XZXYZYII
0.023650391290113183,YZYYZYII
-0.014085394890331095,IYZZZYII
0.020956437051332107,ZYZZZYII
-0.0012828454641497576,IYIZZYII
0.022367545825963425,IYZIZYII
-0.0007689508726810354,IYZZIYII
0.08366944420413025,IIIIIZII
-0.0007689508726810354,XZZZXZII
-0.0007689508726810354,YZZZYZII
0.104455924708531,IIIIZZII
0.06907343656621011,IIIZIZII
0.10358556949462257,IIZIIZII
0.07819737125777233,IZIIIZII
0.10563256808613303,ZIIIIZII
-0.023650391290113183,IYYXXIII
0.023650391290113183,IXYYXIII
-0.014085394890331091,XZZZXIII
0.020956437051332107,XIZZXIII
0.022367545825963425,XZIZXIII
-0.0012828454641497576,XZZIXIII
0.023650391290113183,IYXXYIII
-0.023650391290113183,IXXYYIII
-0.014085394890331091,YZZZYIII
0.020956437051332107,YIZZYIII
0.022367545825963425,YZIZYIII
-0.0012828454641497576,YZZIYIII
0.08366944420413024,IIIIZIII
0.10358556949462257,IIIZZIII
0.06907343656621011,IIZIZIII
0.10563256808613303,IZIIZIII
0.07819737125777233,ZIIIZIII
-0.04143555429717208,YYXXIIII
0.04143555429717208,XYYXIIII
0.04143555429717208,YXXYIIII
-0.04143555429717208,XXYYIIII
-0.03800531921764613,IIIZIIII
0.10747297079755679,IIZZIIII
0.06717958390260959,IZIZIIII
0.10861513819978166,ZIIZIIII
-0.03800531921764619,IIZIIIII
0.10861513819978166,IZZIIIII
0.06717958390260959,ZIZIIIII
-0.2042475869483495,IZIIIIII
0.12936302285802956,ZZIIIIII
-0.20424758694834944,ZIIIIIII
